"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"VIAB","Viacom Inc.","43.81","15222227506.72","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/viab",
"VVI","Viad Corp","28.14","565031445.72","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vvi",
"VSAT","ViaSat, Inc.","62.56","3004896121.12","n/a","United States","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vsat",
"VIAV","Viavi Solutions Inc.","5.4","1270760200.2","n/a","United States","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/viav",
"VICL","Vical Incorporated","0.58","53045667.26","n/a","United States","1993","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vicl",
"VII","Vicon Industries, Inc.","1.69","15556106.93","n/a","United States","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/vii",
"VICR","Vicor Corporation","9.73","377268032.89","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vicr",
"VBND","Vident Core U.S. Bond Strategy Fund","49.74","427764000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vbnd",
"VUSE","Vident Core US Equity ETF","24.91","378632000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vuse",
"VIDI","Vident International Equity Fund","20.5","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vidi",
"VGGL","Viggle Inc.","1.5","32001517.5","n/a","United States","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vggl",
"VKTX","Viking Therapeutics, Inc.","6.25","61145700","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vktx",
"VBFC","Village Bank and Trust Financial Corp.","18.1","25573435.7","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/vbfc",
"VLGEA","Village Super Market, Inc.","26.22","371487083.82","n/a","United States","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/vlgea",
"VNOM","Viper Energy Partners LP","15.5","1235625528","n/a","United States","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnom",
