SYMBOL,NAME,EXCHANGE
HEA-U.TO,HORIZONS ENHD INCOME US EQUITY ,TOR
ES5R.SG,EUR SECTR U E RC,STU
DXS5.DE,DBXT MSCI AC AJ 1C,GER
BULL-EL-X4-S.ST,EL/SEB 22 NTS,STO
JPYP.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
DXSM.BE,DBXT DBLCI OYB 1C,BER
LYLVE.SW,L UC ETF STX 50 LEV,EBS
EL4S.SG,DK DB ERGOV 1-3,STU
H4ZD.DU,HSBC MSCI USA G-CT,DUS
L8I2.MU,L UC ETF E EU C EUR,MUN
IBC5.F,ISHAR MSCI CAN G-CT,FRA
C064.BE,COMS S600 CHEM IC,BER
XEB.TO,ISHARES JP MORGAN USD EM BOND CAD-HDG,TOR
CD6.PA,AM CONS DISC UC ETF,PAR
XPF.TO,ISHARES S&P;/TSX NA PREF STOCK (CAD-HDG),TOR
KBNSK-98.TA,TBSK/KSM SAL S98,TLV
IWSZ.L,ISHARES IV PLC ISHARES MSCI WOR,LSE
CEBG.DU,ISHS MSCI ME USD-AC,DUS
6PSD.BE,POWSHS FTSE M-S EUR,BER
DXSQ.MU,DBX IEU 1C,MUN
4878180.DU,COMS M JAP IC,DUS
C070.DU,COMS S600 INS IC,DUS
K-MXEF19.TA,MXEF/KSM SAL S19,TLV
WSREUA.MI,UBS ETF M WD SR AD,MIL
KSMLT-14.TA,SPLAC/KSM SAL S14,TLV
105780.KS,KSTAR TOP5 GROUP,KSC
X507.SG,COMS ILSD10-15 IC,STU
168300.KS,KTOP50,KSC
TELW.PA,MUL LY W TEL S C ,PAR
M9SB.SG,RBS M A RICI A C,STU
11FF.L,4.071 BSKT/ADCB 16,LSE
XACT-OILSERVICE.OL,SHB X OIL SV ETFC,OSL
BSCE,GUGGENHEIM BULLETSHRS2014 CORP BD ETF,PCX
IECF.L,"ISHARES VI PLC (THE ""COMPANY"") ",LSE
KRE.MX,SPDR S&P; RG BK ETF,MEX
X015.HM,COMS M PAC XJAP IC,HAM
KTT15-34.TA,TCH15/KSM SAL S34,TLV
X1G.MI,A RATED GR UC ETF C,MIL
CRPH.L,ISHARES GLBL CORP BD EUR HDGD,LSE
PSGGL-23.TA,GALIL/PSAGOT S23,TLV
XS1101883319.TI,SG ISSUER 19 FRN,TLO
C053.SG,COMS ES50 D LEV IC,STU
XBRI.L,DB X-TRACKERS DBX MSCI BRIC ETF,LSE
VOOV,VANGUARD S&P; 500 VALUE ETF,PCX
DEF,GUGGENHEIM DEFENSIVE EQUITY ETF,PCX
XRUM.L,DB X-TRACKERS DBX RUSSELL MIDCA,LSE
X509.HM,COMS ILSD25+ IC,HAM
XSW,SPDR S&P; SOFTWARE & SERVICES ETF,PCX
C002.DE,COMS FR DAX IDD,GER
4GX4.BE,GLOBAL X COPPER ETF,BER
VOOL.DU,MUL LY SP500FER CC,DUS
XUTD.SW,DBX US TRU 1C,EBS
DLTM.L,ISHARES MSCI EM LATIN AMERICA DIST,LSE
UC58.L,UBS ETF UBS ETF-MSCI CANADA HED,LSE
CBU0.L,ISHARES VII PLC ISHARES USD TSY,LSE
18MD.DU,AM STX 50 UCITS ETF,DUS
SCOC.MI,SCOC/ETFS,MIL
LYMW.HM,L U ETF C SEC C EUR,HAM
STPP,IPATH US TREASURY STEEPENER ETN,PCX
SXRW.DU,ISHS CR 100 GBP-AC,DUS
22619652.IR,FINEX MSCI USA USD,ISE
GLDV.L,SPDR® S&P; GLOBAL DIVIDEND ARSTCRTS ETF,LSE
CSCK12.MX,GRUPO FIN BAN 20 12,MEX
GGW6.MU,SAUR F-S GL CHAM DD,MUN
1977816.F,RABOBANK VRN REG-S,FRA
LYS5.F,L GOV BD 3-5Y C EUR,FRA
LYPL.F,L UC ETF E/N D EUR,FRA
LYY6.HM,L UC ETF R/C C EUR,HAM
SXRV.DU,ISHS NASDAQ USD-AC,DUS
JJE,IPATH DJ-UBS ENERGY SUBTR ETN,PCX
XUS.PA,DBXT MSCI USA 1C,PAR
EL41.F,DK MSCI MC US,FRA
XMEU.MI,DBXT MSCI EU 1C,MIL
XBAN.DE,DBXT MSCI BANGL 1C,GER
X025.SW,COMS M EU MD IC,EBS
UB91.L,UBS ETF UBS ETF MARKIT IBOXX E ,LSE
IUTSF,ISHARES S&P;/TSX 60 I,PNK
JYN,IPATH JPY/USD EXCHANGE RATE ETN,PCX
REMX,MARKET VECTORS RARE EARTHSTRAT MTLS ETF,PCX
CAUSBH.SW,UBS ETF MC100HU AC,EBS
XDBG.L,DB X-TRACKERS DBX DBLCI - OY BA,LSE
CRWU.L,OSSIAM LUX OSSIAM RISK WGHT COM,LSE
LYPN.SG,L U ETF/NA AS D EUR,STU
EX11.VI,ISHS DVDAX UETF,VIE
IEEM.L,ISHARES PLC ISHARES MSCI EM UCI,LSE
VOX,VANGUARD TELECOMMUNICATION SERVICES ETF,PCX
DX2S.MU,DBX ASX 200 1C,MUN
IUS3.DE,ISHS S&P; SC600 G-CT,GER
SC0J.BE,SO MSCI WO USD-A-AC,BER
XACT-FINANS.OL,SHB X NORD BI ETFC,OSL
M9SY.DU,RBS M A FR MKTS C,DUS
EPS,WISDOMTREE EARNINGS 500 ETF,PCX
IAUT.L,ISHARES AUSTRIA GOVERNMENT BOND,LSE
XSBT.F,CFS DB XT ST EUR-1D,FRA
XET7.L,DB ETC INDEX PLC DB S&P; GSCI IN,LSE
SST,SPDR BARCLAYS SHORT TERM TREASURY ETF,PCX
IQQ9.DU,ISHS BRIC 50 G-CT,DUS
CORN,TEUCRIUM CORN ETF,PCX
IBCM.DU,ISHS EU GOV G-CT,DUS
EL4U.SG,DK DB ERGV 5-10,STU
USP3.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
OSX4.DU,OL IS EU MV UE1CC,DUS
BRNT.MI,BRNT/ETFS ,MIL
AEEM.L,AMUNDI ETF MSCI EMERGING MARKETS EUR A/I,LSE
GBF,ISHARES GOVERNMENT/CREDIT BOND,PCX
DE000A0V8LR3.DE,ISHS MSCI EM MK USD,GER
DBX6.BE,DBXT MSCI BRAZ 1C,BER
1680049.DU,DB CAP VRN,DUS
18M2.F,A EMU HI DIV UC ETF,FRA
AIGAN.MX,AIGA/ETFS,MEX
SSG,PROSHARES ULTRASHORT SEMICONDUCTORS,PCX
XMK9.MI,DBXT MSCI JAP 4C,MIL
XEIN.MI,DBX EUR INF 1C,MIL
AIGL.MI,AIGL/ETFS,MIL
XMI.TO,ISHARES MSCI EAFE MIN VOLATILITY,TOR
126003.L,UBS ETF MJI2035 AD,LSE
DXSE.DE,DBXT SE600 HC 1C,GER
FHY.TO,FT SHORT DURATION HIGH YIELD BD COMM,TOR
JBPLGA.SW,JB PHYSPLATIN A GBP,EBS
ISO.AX,ISHARES S&P;/ASX SMALL ORDINARIES,ASX
XET6.L,DB ETC INDEX PLC DB S&P; GSCI AG,LSE
X023.F,COMS M USA SM IC,FRA
CSCA.SW,ISH MSCI CAN USD-AC,EBS
60CN.L,RBS/INDEX 14,LSE
C090.F,COMS C COM EW IC,FRA
UIM9.SG,UBS ETF MSCI CA AD,STU
LTM.PA,L UC ETF L AM C EUR,PAR
KS120-33.TA,TA120/KSM SAL IND,TLV
IUSH.MU,ISHS EUR ST EUR-ACC,MUN
VRD,SPDR NUVEEN S&P; VRDO MUNICIPAL BOND ETF,PCX
X021.DE,COMS M USA LG IC,GER
LSK8.SG,L UC E S.50 D.DO.SH,STU
IYZ,ISHARES US TELECOMMUNICATIONS,PCX
XIF5.SW,DBX INFLA SWAP 1C,EBS
VNRT.AS,VAN FTSE NRT AM USD,AMS
11MB.L,KGH/HSBC 15 ELN,LSE
EFFE,GLOBAL X | JPMORGAN EFFICIENTE ETF,PCX
EMAG,MARKET VECTORS EM AGGREGATE BD ETF,PCX
NYF,ISHARES NEW YORK AMT-FREE MUNI BOND,PCX
S7XE.SG,SOU STX BK EUR-A-AC,STU
XCSD.F,DBXT2 AUD CASH 1C,FRA
HCAD.L,HSBC MSCI CANADA ETF,LSE
UHB.TO,POWERSHARES S&P; 500 HIGH BETA CAD H ETF,TOR
UWM.MX,PRSH ULTRA RUS2000,MEX
60YA.L,JAIP/HSBC WT19 ,LSE
KSM-111E.TA,EEM/KSM SAL S111,TLV
XACT-NORDEN-120.O,,
EMBB,SPDR MSCI EM BEYOND BRIC ETF,PCX
ASHR.MX,DE HARV CSI300-A,MEX
DSTJ,JPMORGAN 2X SHORT US LONG TRSY FUT ETN,PCX
10640628.SW,JB PHYSPLATIN A CHF,EBS
6PSJ.SG,POWSHS FTSE ASI USD,STU
XDND.SG,DBX NA HY USD-1C-AC,STU
XRB.TO,ISHARES CANADIAN REAL RETURN BOND,TOR
XKSP.DU,DBX S&P500; 3C,DUS
LYYT.MU,L UC ETF INDUST G&S;,MUN
COTN.L,ETFS COMMODITY SECURITIES LIMIT,LSE
TWND.L,LYXOR ETF MSCI TAIWAN C-USD,LSE
TAO,GUGGENHEIM CHINA REAL ESTATE ETF,PCX
COFF.L,ETFS COMMODITY SECURITIES LIMIT,LSE
H4ZR.SG,HSBC MSCI CAN G-CT,STU
MTV0-2-1.TA,GLIL02/PSG IND S1,TLV
XWEH.SG,DBX MSCI WORLD 4C,STU
YOZR.AX,SPDR 200 RESOURCES EIN,ASX
DBXC.BE,DBX SOV10-15 1C,BER
SHORT-CHF-F-S.ST,CHF/SEK/SEB 21 NTS,STO
CMDE.L,UBS AG UBS ETC(UBS BBG DJ-UBS C,LSE
HNY-A.TO,HORIZONS NATURAL GAS YIELD ETF ,TOR
KSMCM-36.TA,BSKT/KSM SAL S36,TLV
ILF,ISHARES LATIN AMERICA 40,PCX
UUP,POWERSHARES DB US DOLLAR BULLISH ETF,PCX
HFR.TO,HORIZONS ACTIVE FR BOND ETF COMM,TOR
GYEN,ADVISORSHARES GARTMAN GOLD/YEN ETF,PCX
13518696.SG,10.25 BAN16 5-S MTN,STU
GGGG,GLOBAL X PURE GOLD MINERS ETF,PCX
1MCS.L,BOOST FTSE 250 1X SHORT DAILY ETP,LSE
IBND,SPDR BARCLAYS INTERNATIONAL CORP BD ETF,PCX
WRDEUA.MI,UBS ETF MSCI WLD AD,MIL
UUP.MX,PWRSHS DB US DOLLAR,MEX
10YX.L,MBSC/HSBC 14 ELN,LSE
CACX.L,LYXOR ETF CAC 40 (DR) D-EUR A/I,LSE
DBPF.DU,DBXT ES50 LEV 1CC,DUS
DBXJ.DE,DBXT MSCI JAP 1C,GER
1974776.DU,DZ BK CAP FUND FRN,DUS
RTH,MARKET VECTORS RETAIL ETF,ASE
XMUJ.L,DB X-TRACKERS DBXT MSCI JAPAN I,LSE
X4ME.DE,DBXT MSCI EEE 1C,GER
76LW.L,BASKET/BARCLAYS 19,LSE
DBX1.MU,DBXT MSCI EM 1C,MUN
UKGBPA.SW,UBS ETF MSCI UK AD,EBS
BKLN,POWERSHARES SENIOR LOAN ETF,PCX
XCBB.F,DBXT2 I CR2SDU 1CC,FRA
4JZH.HM,SPDR GLOBAL DOW ETF,HAM
CMIB.AS,ISHS FTSE EUR-ACC,AMS
WOMV.PA,OL WMV UE1CC,PAR
SSGW.HM,SPDR S&P; EMRG EUROP,HAM
IDFE.L,ISHARES MSCI AC FAR EAST EX-JAPAN SM CAP,LSE
SPICHI.SW,UBS ETFSPI CHF IDIS,EBS
HXT-U.TO,HORIZONS SP TSX 60 INDEX ETF US,TOR
C5S.MI,AM EU STX 50 UC ETF,MIL
XURA.L,,
EWP.MX,ISHS MSCI SP CP IDX,MEX
XD5F.F,DBX EUSTX50 EXFIN D,FRA
X021.SG,COMS M USA LG IC,STU
LONG-BASMET-S-H.S,,
BULL-BASMET-X3-H.,,
GPXZQ7.TI,EUR/TRY/GSI 15,TLO
ADZ,POWERSHARES DB AGRICULTURE SHORT ETN,PCX
MTBGLN-5.TA,GILON/PSG IND S5,TLV
LYS0.DU,L UC ETF THAI C EUR,DUS
LYPL.DE,L UC ETF E/N D EUR,GER
EWQ,ISHARES MSCI FRANCE,PCX
IUSQ.SG,ISHS MSCI AC G-CT,STU
XBAK.L,DB X-TRACKERS DBX MSCI PAKISTAN,LSE
EUNX.SG,ISHS US AGG BD G-CT,STU
IJPA.AS,ISHS CR MSCI JP USD,AMS
CB5.MI,AM EU BKS UCITS ETF,MIL
DEL2.DE,GO DAX DAILY 2 G-CT,GER
SCOP.L,ETFS COMMODITY SECURITIES LIMIT,LSE
101280.KS,KODEX JAPAN,KSC
XLU,UTILITIES SELECT SECTOR SPDR ETF,PCX
AXUT,ISHARES MSCI ACWI EX US UTILITIES,PCX
83118.HK,HARVEST MSCI CHINA A ETF RMB COUNTER,HKG
EL4P.F,DK IB LSD 7-10,FRA
IEMB.L,ISHARES II PLC ISHARES J.P. MOR,LSE
66917.L,RBS/INDEX 14,LSE
8523.HM,COMS ISGC10+ IC,HAM
CWE.L,AMUNDI ETF MSCI WORLD ENERGY EUR A/I,LSE
VWO.MX,VANGRD FTSE EM MKTS,MEX
XACT-ENERGI.ST,SHB X NORD ENE ETFC,STO
IQQB.MU,ISHS MSCI BR G-CT,MUN
1048P.LS,1048P/BCP CT,LIS
MOOO.L,IPATH S&P; GSCI LIVESTOCK IDX TR (DE) ETN,LSE
XMKO.MI,DBXT MSCI KOREA 1C,MIL
XWD.TO,ISHARES MSCI WORLD,TOR
C063.SG,COMS S600 BR IC,STU
GS1EUA.MI,UBS ETF MIE 13 AD,MIL
GOVY.L,SPDR® BARCLAYS EURO GOVERNMENT BOND ETF,LSE
IQDY,FLEXSHARES INTL QUAL DIV DYNAMIC ETF,PCX
IRY,SPDR S&P; INTERNATIONAL HEALTHC SECT ETF,PCX
UEFP.F,UBS ETF MIE 710 AD,FRA
CSEMUL.MI,ISH L EMU LC C,MIL
EUNH.MU,ISHS CR EU GOV G-CT,MUN
4GXS.BE,GL X JUNIOR MNRS,BER
10253078.SW,ISHRS SWDGB 1-3,EBS
TCMR-16.TA,TB20/TACHLIT CP S16,TLV
MCRO,IQ HEDGE MACRO TRACKER ETF,PCX
SJH,PROSHARES ULTRASHORT RUSSELL2000 VALUE,PCX
1731541.SW,L U ETF ALL MAT INV,EBS
EXV6.DE,ISHSE600BR(DE),GER
O005.L,ISHARES PLC ISHARES ATX (OTC),LSE
168580.KS,KINDEX CHINA A CSI300,KSC
XGII.DE,DBX GLBL INF L ETF,GER
IRCP.AS,ISHS EUR CRP IN EUR,AMS
LYMF.SG,L UC ETF SEL DIV 30,STU
O061.L,ISHARES PLC ISHARES DJSTOXX600 ,LSE
SLHO.MI,SLHO/ETFS,MIL
EET,PROSHARES ULTRA MSCI EMERGING MARKETS,PCX
IJP.AX,ISHARES MSCI JAPAN (AU),ASX
EUNP.MU,ISHS S&P; 500 G-CT,MUN
EWC,ISHARES MSCI CANADA,PCX
EXV4.DE,ISHSTE600HCUC,GER
DBXB.MU,DBX SOV EUR 7-10 1C,MUN
10679678.DU,ISHS CR EU GOV G-CT,DUS
FORX,PIMCO FOREIGN CURRENCY STRATEGY ACTV ETF,PCX
VEFW.BE,MARKET VECTR RETAIL,BER
XMCL.MI,DBXT MSCI CHILE 1C,MIL
VXAA,UBS E-TRACS 1MO S&P; 500 VIX FUTURES ETN,PCX
SXR3.DE,ISHS MSCI UK GBP-AC,GER
ANX.MI,AM NASD-100 ETF EUR,MIL
SDYL,UBS ETRACS MTHLY PAY 2XLVRGD S&P; DIV ETN,PCX
1480005.SW,ISH L EMU LC C,EBS
IS0Q.DU,ISHS USD EM MK G-CT,DUS
18MP.BE,AM WLD EX EM UC ETF,BER
16DK.L,ASTRA/HSBC 15 ELN,LSE
12981002.DU,ISHSEU600T&L;,DUS
LRX2.F,L UC ETF COV BD AGG,FRA
EUNH.DE,ISHS CR EU GOV G-CT,GER
BXX.PA,L UC E S.50 D.DO.SH,PAR
RWJ,REVENUESHARES SMALL CAP ETF,PCX
LCOR.L,ETFS COMMODITY SECURITIES LIMIT,LSE
EXI5.HM,ISHSEU600REST,HAM
IUSU.HM,ISHS USD TRE B G-CT,HAM
CWAT.SW,CWAT/ETFS HEDGED,EBS
GEX.MX,MKVC GLB ALT EN-SBI,MEX
45ZL.L,BANKINDIA/HSBC16VRN,LSE
2532204.SW,MUL LY L DDAX,EBS
DBPQ.HM,DBXT MSCI W CS 1C,HAM
LGRA.L,ETFS COMMODITY SECURITIES LIMIT,LSE
12JI.L,PHAR/HSBC 14 ELN,LSE
SLVR.MI,SLVR/ETFS,MIL
COPAP.PA,COPA/ETFS,PAR
C011.SG,COMS NASDAQ 100 IC,STU
10631081.DU,COMS CAC 40 LEV IC,DUS
GII,SPDR S&P; GLOBAL INFRASTRUCTURE ETF,PCX
DIG.MX,PRSHS ULT OIL & GAS,MEX
VXX,IPATH S&P; 500 VIX ST FUTURES ETN,PCX
UNG.MX,US NATL GAS FD,MEX
SGLN.L,ISHARES PHYSICAL METALS PLC ISH,LSE
LCTO.MI,LCTO/ETFS,MIL
C33.MI,AM GR 3-5 UC ETF C,MIL
XEYL.MU,T TAI T E UC ETF EU,MUN
01001T.TW,FUBON NO.1 REIT REIT NO.1 TWD10,TAI
EXX5.F,ISHS DJ US SLDV,FRA
EXX4.SG,IS EUR STX H C,STU
4231253.DU,DBX EM BND EUR 1C,DUS
DEL2.BE,GO DAX DAILY 2 G-CT,BER
1951019.BE,OVAG FIN VRN,BER
X03C.SG,DBX SOV EUR 3-5 1DD,STU
126005.L,UBS ETF MEI2035 AD,LSE
DX2X.F,DBXT STO E 600 1C,FRA
10640717.SW,JB PHYSPLATINAX CHF,EBS
LYYR.HM,L U ETF 600 F & BEV,HAM
RWC-A.TO,FIRST ASSET MSCI CDA LOW RISK W,TOR
24015783.SW,UBS ETF M EEXUK AD,EBS
540A.SG,A ETF MIN VOL U ETF,STU
EIPL,UBS E-TRACS MON 2X NEXT GEN INTERNET ETN,PCX
BSJH,GUGGENHEIM BULLETSHRS2017 HY CORPBD ETF,PCX
3073.HK,SPDR® FTSE GREATER CHINA ETF,HKG
EL43.SG,DK MSCI EUR MC,STU
EUN9.F,ISHS EUR GOV B G-CT,FRA
LEED.L,ETFS COMMODITY SECURITIES LIMIT,LSE
10854862.IR,SOUR S&P; USD-A-AC,ISE
22499879.IR,PIM SHT-TER HIG EUR,ISE
CU5.MI,AM EUR UTIL UCI ETF,MIL
IUSF.MU,ISHS MSCI US IS G-C,MUN
ZEQ.TO,BMO MSCI EUROPE HI QUAL HDGD TO CAD ETF,TOR
XLPE.MI,DBX LPX PE 1C,MIL
FGUQ.DU,VERI ETF-DCHFDS P T,DUS
LYM8.DE,L U ETF W WAT D EUR,GER
HMLA.L,HSBC ETFS PLC HSBC MSCI EM LATI,LSE
ONN,UBS E-TRACS FISHER-GARTMAN RISK ON ETN,PCX
MTV510-3.TA,GLIL51/PSG IND S3,TLV
24767202.PA,SSGA SPDR HE EUR-AC,PAR
EM57.MI,L UCITS 5-7Y INV GR,MIL
ERNE.L,ISHARES EURO ULTRASHORT BOND,LSE
IGSG.AS,ISHS DJ GLB USD-ACC,AMS
SMIN,ISHARES MSCI INDIA SMALL-CAP,PCX
UIM5.DE,UBS ETF MSCI JAP AD,GER
TCMR-12.TA,TABA/TACHLIT CP S12,TLV
XDUK.SG,DBX FTSE100 DIR C,STU
C020.F,COMS NIKKEI 225 IC,FRA
IPRV.SW,ISHS LIS PRI EQ USD,EBS
FINF,PROSHARES SHORT 30 YEAR TIPS/TSY SPREAD,PCX
SOYO.L,ETFS COMMODITY SECURITIES LIMIT,LSE
JPP3.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
HMXJ.L,HSBC ETFS PLC HSBC MSCI PACIFIC,LSE
PSRH.L,POWERSHARES GLBAL FUNDS IRELAND,LSE
SLICHI.SW,UBS SLI R CHF IDIS,EBS
JB6E.F,J BAER S EQ EU SC,FRA
22349088.SG,CREDIT SUISSE 25VRN,STU
MI10.PA,L U ETF B 10Y C EUR,PAR
DXSL.SG,DBXT SE600 IG 1C,STU
EXH1.F,ISHSEU600OG,FRA
USE3.MI,MSCEEUUS/ETFS,MIL
LYMH.MU,L UC ETF AT LGE CAP,MUN
IS00.SG,ISHS MSCI MEX G-CT,STU
2363075.DU,RBS VRN REG-S,DUS
SYBJ.DU,SPDR BAR EUR HG EUR,DUS
IM2E.MU,S&P; GSCICC35/20 AUC,MUN
46HE.L,SAM/HSBC WT21,LSE
BEAR-DNBNORHA.OL,DNB/SHB 40,OSL
DU13.SG,L U ETF IB G 1-3Y C,STU
SPY0.SG,SPDR AEX IDX UC ETF,STU
DBXZ.BE,DBXT FTSE ALL-S 1D,BER
EURP.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
CAGBAH.SW,UBS ETF MC100HG AD,EBS
MGK,VANGUARD MEGA CAP GROWTH ETF,PCX
BULL-EL-HA.OL,ENF/SHB CTS,OSL
XSTR.L,DB X-TRACKERS II DBX STERLING C,LSE
KBANK-36.TA,TABA/KSM SAL S36,TLV
540C.F,AM EUR TELEC UC ETF,FRA
122270.L,HRHO/HSBC 14 ELN,LSE
12475852.SW,UBSSXI RE CHF ADIS,EBS
DBX2.F,DBXT MSCI EM AS 1C,FRA
DYY,POWERSHARES DB COMMODITY DOUBLE LONG ETN,PCX
EUNW.HM,ISHS EU YE CO EUR,HAM
CMR-A.TO,ISHARES PREMIUM MONEY MARKET ET,TOR
LEMD.L,LYXOR INTERNATIONAL ASSET MANAG,LSE
ERO.TO,IPATH EUR USD EXCH RATE ETN,TOR
IUS5.HM,ISHS GLB INF L G-CT,HAM
LYPJ.BE,L UC BD EX FI C EUR,BER
ISJP.AS,ISHS MSCI JAP USD,AMS
S5B.MI,AM GR 5-7 UC ETF C,MIL
4753352.SW,ZKB GOLD ETF AA EUR,EBS
25524842.MU,SOU NASDAQ USD-A-AC,MUN
XH7S.L,DB X-TRACKERS II DBX CDX NA HY ,LSE
XMBR.MI,DBXT MSCI BRAZ 1C,MIL
DTD,WISDOMTREE TOTAL DIVIDEND ETF,PCX
DXSJ.BE,DBXT SE600 INS 1C,BER
TCMR-9.TA,GALIL/TACHLIT CP S9,TLV
JJM,IPATH DJ-UBS IND METALS SUBTR ETN,PCX
STAW.MI,MUL LY W CO STA CC,MIL
XMHC.SG,ISH L EMU MC C,STU
VA.TO,VANGUARD FTSE DEVELOPED ASIA PACIFIC ETF,TOR
18MR.F,AM SH DAX 30 UC ETF,FRA
CHE3.MI,MSCEEHUS/ETFS,MIL
GB5.F,ETFS PHYS GOLD,FRA
SPGP.L,ISHARES V PUBLIC LIMITED COMPAN,LSE
1431825.SG,RBS CAP TRUST VRN,STU
2841.HK,ISHARES CSI A-SHARE CONSMR STPLS,HKG
CSSLI.SW,ISHRS SLI R CH,EBS
EXV2.HM,ISHSEU600TELEC,HAM
PSSP-183.TA,S&P;/PSAGOT S 183,TLV
CASH.AS,GO ETF CHI USD-A-AC,AMS
CU5.PA,AM EUR UTIL UCI ETF,PAR
DBXD.BE,DBXT DAX 1C,BER
XDWD.SG,DBX WORLD USD-1C-AC,STU
EWK,ISHARES MSCI BELGIUM CAPPED,PCX
DBZR.BE,DBXT HSI SH DAY 2C,BER
DBPV.F,DBXT MSCI W UTI 1C,FRA
LOWC,SPDR MSCI ACWI LOW CARBON TARGET ETF,PCX
SXRN.SG,ISH EUR GOV 1-3-ACC,STU
DXS3.SG,DBX S&P500; SH 1C,STU
HIX.TO,HORIZONSBETAPRO S&P;/TSX 60 INVERSE ETF,TOR
21971617.IR,UBS ETF ME100HG AC,ISE
C5S.PA,AM EU STX 50 UC ETF,PAR
C073.HM,COMS S600 PHG IC,HAM
AUKD.L,AMUNDI ETF FTSE UK DIVIDEND PLUS,LSE
ARGT,GLOBAL X MSCI ARGENTINA ETF,PCX
UC51.L,UBS ETF (IE) SOLACTIVE GLBL OIL EQUITIES,LSE
DBXP.DE,DBX SOV 1-3 1C,GER
DBX9.BE,DBXT FTSE C50 1C,BER
C063.BE,COMS S600 BR IC,BER
SIL,GLOBAL X SILVER MINERS ETF,PCX
RYJ,GUGGENHEIM RAYMOND JAMES SB-1 EQUITY ETF,PCX
CANUKD.SW,UBSETF MSCI CA AUKD,EBS
FIE-A.TO,ISHARES CDN FIN MTHLY INCOME ET,TOR
P2SV.BE,PRSH ULTSRT RUS2000,BER
BULL.L,ETFS COMMODITY SECURITIES LIMIT,LSE
BEAR-KAFFE-X2-H.ST,COFFEE/SHB 40 CT,STO
IQQJ.DU,ISHS MSCI JAP G-CT,DUS
11926022.SW,UBS BLO CO CHF-A-AC,EBS
SC0H.DE,SOUR MSCI USD-A-AC,GER
LYS2.F,L U ETF 1000 V C EU,FRA
EUN3.BE,ISHS GLB GOV B G-CT,BER
LYPU.F,MUL LY ASPA200 D,FRA
IDEM.L,ISHARES PLC ISHARES MSCI EM UCI,LSE
QDEU,SPDR MSCI GERMANY QUALITY MIX ETF,PCX
YDGA.AX,DIGGA AUST MINING FUND EI,ASX
15QV.L,OCAI/HSBC 16,LSE
BSJM,GUGGENHEIM BULLETSHRS 2022 HY CORPBD ETF,PCX
UB50.L,UBS ETF UBS ETF MSCI PACIFIC SO,LSE
ETLU.MU,GO DAXGLB ALTE G-CT,MUN
I6H.HM,ISHARES SILVER ETF,HAM
VIG.MX,VANGUARD DIV APPR ,MEX
UBUF.SG,UBS MSCI BRA USD-A-,STU
SUP3.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
YRVL.AX,RUSSELL AUS VAL ETF,ASX
11603043.DU,MUL LY W HEAL C CC,DUS
BULL-PLATIN-X4-S.ST,PL/SEB 22 NTS,STO
XCBA.SG,DBXT2 I CR2DU 1CC,STU
DXSK.SG,DBXT SE600 F&B; 1C,STU
DTD.MX,WSDMTR TOTL DIV-SBI,MEX
EXHD.BE,ISERGG 5.5-10.5,BER
ISQX.BE,ISHS MSCI EM MK,BER
IQQ5.BE,ISHS MSCI TURK G-CT,BER
SXRV.MU,ISHS NASDAQ USD-AC,MUN
P3WJ.BE,POWERSHARES,BER
DX2G.DE,DBXT CAC40 1D,GER
AMJ,JPMORGAN ALERIAN MLP ETN,PCX
LYQM.DU,L UC ETF EUROST DIV,DUS
4GX1.BE,GLBL X LITHIUM,BER
10228160.DU,ISHS CR EU CRP G-CT,DUS
OBOSX-DNM.OL,OBOSX/DNB CT 43,OSL
XS8R.MI,DBXT SE600 TEC 1C,MIL
51KR.L,BASKET/BARCLAYS 16,LSE
79VR.L,NBAD/HSBC 14 ELN,LSE
102970.KS,KODEX SECURITIES,KSC
XCXC.L,DB X-TRACKERS II DBXT CAD CASH ,LSE
CBUSE.SW,UBS ETF BUSLC AHC,EBS
UBN,UBS ETRACS CMCI ENERGY TOTAL RETURN ETN,PCX
EXSI.MI,ISHS EU STX UET,MIL
EWHS,ISHARES MSCI HONG KONG SMALL-CAP,PCX
O076.L,ISHARES PLC ISHARES EB.REXX GOV,LSE
DBU,WISDOMTREE GLOBAL EX-US UTILITIES ETF,PCX
DBPS.DU,DBXT MSCI W HC 1C,DUS
STK.PA,SSGA SPDR TE EUR-AC,PAR
HCAN.L,HSBC ETFS PLC HSBC MSCI CANADA ,LSE
5X62.SG,COMS C BUF S IC,STU
BJK.DU,MKT VECTORS GAMING,DUS
DHS.L,WISDOMTREE US EQUITY INCOME ETF,LSE
DXSF.DU,DBXT SE600 BK 1C,DUS
EUN8.BE,ISHS EUR GOV B G-CT,BER
JBSIUX.SW,JB PHYSSILVER AX ,EBS
LYY7.F,MUL LY DAX,FRA
SPYT.F,SSGA SPDR TE EUR-AC,FRA
176710.KS,POWER KTB ETF,KSC
CW8.L,AMUNDI ETF MSCI WORLD EUR A/I,LSE
2PAL.L,BOOST PALLADIUM 2X LEVERAGE DAILY ETP,LSE
71FJ.L,7.5 DANA GAS ,LSE
